quizId,questionId,question,studentId,answer
1,2,"What is the ""nick name"" for the inventors of UML?",82,3 Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",83,The three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",84,No Idea
1,2,"What is the ""nick name"" for the inventors of UML?",85,No idea
1,2,"What is the ""nick name"" for the inventors of UML?",86,River Hawks
1,2,"What is the ""nick name"" for the inventors of UML?",87,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",88,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",89,3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",90,3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",91,The 3 Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",92,don't know
1,2,"What is the ""nick name"" for the inventors of UML?",93,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",94,don't know
1,2,"What is the ""nick name"" for the inventors of UML?",95,3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",96,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",97,jacob
1,2,"What is the ""nick name"" for the inventors of UML?",98,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",99,Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",100,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",101,
1,2,"What is the ""nick name"" for the inventors of UML?",102,
1,2,"What is the ""nick name"" for the inventors of UML?",103,THE THREE AMIGOS
1,2,"What is the ""nick name"" for the inventors of UML?",104,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",105,ivar jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",106,3 musketeers
1,2,"What is the ""nick name"" for the inventors of UML?",107,Grady Booch
1,2,"What is the ""nick name"" for the inventors of UML?",108,Ivar
1,2,"What is the ""nick name"" for the inventors of UML?",109,Don't know
1,2,"What is the ""nick name"" for the inventors of UML?",110,UML
1,2,"What is the ""nick name"" for the inventors of UML?",111,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",112,Three Ambigos
1,2,"What is the ""nick name"" for the inventors of UML?",113,UML
1,2,"What is the ""nick name"" for the inventors of UML?",114,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",115,3 musketeers
1,2,"What is the ""nick name"" for the inventors of UML?",116,Don't Know
1,2,"What is the ""nick name"" for the inventors of UML?",117,Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",118,
1,2,"What is the ""nick name"" for the inventors of UML?",119,gunja
1,2,"What is the ""nick name"" for the inventors of UML?",120,3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",121,3 musketeers
1,2,"What is the ""nick name"" for the inventors of UML?",122,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",123,Ivar
1,2,"What is the ""nick name"" for the inventors of UML?",124,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",125,Three Amigos of software engineering
1,2,"What is the ""nick name"" for the inventors of UML?",126,The three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",127,
1,2,"What is the ""nick name"" for the inventors of UML?",128,Ivar Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",129,
1,2,"What is the ""nick name"" for the inventors of UML?",130,3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",131,river hawks
1,2,"What is the ""nick name"" for the inventors of UML?",132,river hawks
1,2,"What is the ""nick name"" for the inventors of UML?",133,
1,2,"What is the ""nick name"" for the inventors of UML?",134,Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",135,No idea!
1,2,"What is the ""nick name"" for the inventors of UML?",136,James
1,2,"What is the ""nick name"" for the inventors of UML?",137,Three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",138,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",139,Ivar Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",140,Anurag
1,2,"What is the ""nick name"" for the inventors of UML?",141,3 Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",142,Three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",143,3 musketeers
1,2,"What is the ""nick name"" for the inventors of UML?",144,
1,2,"What is the ""nick name"" for the inventors of UML?",145,Ivar Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",146,Gang of 4
1,2,"What is the ""nick name"" for the inventors of UML?",147,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",148,NA
1,2,"What is the ""nick name"" for the inventors of UML?",149,donald 
1,2,"What is the ""nick name"" for the inventors of UML?",150,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",151,Ivar Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",152,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",153,the three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",154,
1,2,"What is the ""nick name"" for the inventors of UML?",155,
1,2,"What is the ""nick name"" for the inventors of UML?",156,Don't know
1,2,"What is the ""nick name"" for the inventors of UML?",157,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",158,three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",159,Three Amigos 
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,1,
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,2,
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,3,
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,4,C
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,5,PASCAL
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,6,Pascal
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,7,"Pascal, Basic"
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,8,basic
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,9,C
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,10,basic
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,11,C
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,12,Objective C
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,13,Cobol
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,14,BASIC
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,15,Pascal
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,16,python
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,17,Objective c
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,18,C
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,19,Pascal
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,20,basic
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,21,
1,3,What was Paul's programming language in High-School?Hint: he used in on an Apple II,22,pascal
